Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CAP-22U-20%-6.3V-X5R-0603_001","C_0603_1608Metric",23.622000,8.534400,270.000000,top
"C2","CAP-22U-20%-6.3V-X5R-0603_001","C_0603_1608Metric",3.556000,21.145500,0.000000,top
"C3","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",25.400000,12.827000,0.000000,top
"C4","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",30.226000,8.001000,90.000000,top
"C5","CAP-47U-20%-6.3V-X5R-0805_001","C_0805_2012Metric",8.064500,22.352000,0.000000,top
"C6","CAP-47U-20%-6.3V-X5R-0805_001","C_0805_2012Metric",8.064500,20.383500,0.000000,top
"C7","CAP-22U-20%-6.3V-X5R-0603_001","C_0603_1608Metric",34.810700,8.509000,270.000000,top
"C8","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",36.576000,12.827000,0.000000,top
"C9","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",41.402000,8.001000,90.000000,top
"C10","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",56.134000,2.159000,0.000000,top
"C11","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",56.896000,6.731000,0.000000,top
"D1","LED-RGB-6P-0606_001","LED-ARRAY-SMD_6P-L1.6-W1.6-TL",62.992000,21.615400,180.000000,top
"FID1","FID_001","Fiducial_0.5mm_Mask1mm",1.940560,22.722840,0.000000,top
"FID2","FID_001","Fiducial_0.5mm_Mask1mm",55.549800,19.558000,0.000000,top
"FID3","FID_001","Fiducial_0.5mm_Mask1mm",58.039000,1.270000,0.000000,top
"FID4","FID_001","Fiducial_0.5mm_Mask1mm",7.874000,3.302000,0.000000,top
"FID5","FID_001","Fiducial_0.5mm_Mask1mm",24.384000,16.510000,0.000000,top
"FID6","FID_001","Fiducial_0.5mm_Mask1mm",43.815000,12.065000,0.000000,top
"R1","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",36.830000,21.145500,90.000000,top
"R2","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",38.100000,21.145500,90.000000,top
"R3","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",41.910000,21.145500,90.000000,top
"R4","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",43.180000,21.145500,90.000000,top
"R5","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",39.370000,21.145500,90.000000,top
"R6","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",40.640000,21.145500,90.000000,top
"R7","RES-470-1%-0.063W-0402_001","R_0402_1005Metric",56.438800,20.866100,180.000000,top
"R8","RES-470-1%-0.063W-0402_001","R_0402_1005Metric",56.438800,21.882100,180.000000,top
"R9","RES-470-1%-0.063W-0402_001","R_0402_1005Metric",56.438800,22.898100,180.000000,top
"U1","TFA9879","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias_0.3mm",27.038200,9.669500,0.000000,top
"U2","TFA9879","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias_0.3mm",38.239600,9.669500,0.000000,top
"U3","XC6206P182MR","SOT-23",56.134000,4.445000,180.000000,top
